dataset,trade_date,l2_code,index_close,relative_return_20d,breadth_above_ma60,revenue_acceleration
industry_daily,2019-01-04,801012.SI,1662.08000000,-0.0106456096,0.3846153846,
industry_daily,2019-01-04,801014.SI,2989.65000000,-0.0031982791,0.5454545455,
industry_daily,2019-01-04,801015.SI,915.47000000,0.0078187771,0.3333333333,
industry_daily,2019-01-04,801016.SI,1883.50000000,0.0086179380,0.2000000000,
industry_daily,2019-01-04,801017.SI,2972.27000000,0.0432806958,0.5000000000,
industry_daily,2019-01-04,801018.SI,4721.48000000,-0.0274640623,0.1428571429,
industry_daily,2019-01-04,801032.SI,2444.33000000,0.0075170587,0.2857142857,
industry_daily,2019-01-04,801033.SI,1756.59000000,-0.0050262426,0.0000000000,
industry_daily,2019-01-04,801034.SI,3122.82000000,-0.0002292498,0.2631578947,
industry_daily,2019-01-04,801036.SI,2746.78000000,0.0067987283,0.4210526316,
industry_daily,2019-01-04,801037.SI,2874.55000000,0.0072803659,0.3750000000,
industry_daily,2019-01-04,801038.SI,2777.66000000,-0.0051448219,0.2222222222,
industry_daily,2019-01-04,801039.SI,1825.44000000,0.0251344202,0.3333333333,
industry_daily,2019-01-04,801043.SI,2941.66000000,-0.0086870479,0.2500000000,
industry_daily,2019-01-04,801044.SI,2322.17000000,0.0045923433,0.0909090909,
industry_daily,2019-01-04,801045.SI,2602.79000000,-0.0092848053,0.1250000000,
industry_daily,2019-01-04,801051.SI,3234.67000000,0.0103902045,0.3000000000,
industry_daily,2019-01-04,801053.SI,5508.67000000,0.1045128866,0.6666666667,
industry_daily,2019-01-04,801054.SI,6461.91000000,-0.0132708619,0.2307692308,
industry_daily,2019-01-04,801055.SI,983.70000000,0.0174124597,0.2564102564,
industry_daily,2019-01-04,801056.SI,6462.51000000,-0.0679243624,0.0000000000,
industry_daily,2019-01-04,801072.SI,2905.69000000,0.0064619298,0.3700000000,
industry_daily,2019-01-04,801074.SI,4313.92000000,0.0050333208,0.3440860215,
industry_daily,2019-01-04,801076.SI,8340.11000000,0.0447379737,0.4000000000,
industry_daily,2019-01-04,801077.SI,8797.93000000,0.0219273666,0.1818181818,
