dataset,trade_date,ts_code,l2_code,is_stock_candidate_eligible,return_20d,ma60_gap,ma120_gap
stock_daily,2026-08-21,000001.SZ,801783.SI,t,0.0279279279,0.0496339209,0.0602016448
stock_daily,2026-08-21,000002.SZ,801181.SI,t,0.0032573290,-0.0234106643,-0.1445434556
stock_daily,2026-08-21,000006.SZ,801181.SI,t,0.1669421488,-0.0206912496,-0.1460366100
stock_daily,2026-08-21,000007.SZ,801203.SI,t,0.3361884368,0.1028632025,0.0020005219
stock_daily,2026-08-21,000008.SZ,801076.SI,t,0.0789473684,0.0079901659,-0.0633031890
stock_daily,2026-08-21,000009.SZ,801737.SI,t,0.2055921053,0.0605256812,-0.0598546387
stock_daily,2026-08-21,00001.HK,,f,-0.0166666667,0.0286339476,0.0733164786
stock_daily,2026-08-21,000010.SZ,801723.SI,f,0.0416666667,-0.1595069107,-0.4440154440
stock_daily,2026-08-21,000011.SZ,801181.SI,t,-0.0205811138,0.1019685883,0.0379659959
stock_daily,2026-08-21,000012.SZ,801712.SI,t,-0.0053475936,-0.1014198002,-0.1284610378
stock_daily,2026-08-21,000014.SZ,801181.SI,t,0.1478953356,0.0290842952,-0.1252835532
stock_daily,2026-08-21,000016.SZ,801111.SI,f,-0.0528455285,-0.1112523840,-0.2129043155
stock_daily,2026-08-21,000017.SZ,801133.SI,t,0.2258620690,0.2432605718,0.1526614429
stock_daily,2026-08-21,000019.SZ,801012.SI,t,0.0834752981,0.0383563898,-0.0558702370
stock_daily,2026-08-21,00002.HK,,f,0.0290135397,0.0659103392,0.0682524727
stock_daily,2026-08-21,000020.SZ,801084.SI,t,0.2053388090,0.0506219610,-0.1191091047
stock_daily,2026-08-21,000021.SZ,801085.SI,t,-0.0974041438,-0.1307652181,0.0129357941
stock_daily,2026-08-21,000025.SZ,801231.SI,t,0.0848656294,0.0519580421,0.0029551145
stock_daily,2026-08-21,000026.SZ,801133.SI,t,0.3283113622,0.0758773564,0.1470196435
stock_daily,2026-08-21,000027.SZ,801161.SI,t,-0.0284360190,-0.0636198711,-0.0911793559
stock_daily,2026-08-21,000028.SZ,801154.SI,t,-0.0342261905,-0.0403984151,-0.0863750017
stock_daily,2026-08-21,000029.SZ,801181.SI,t,0.1829521830,-0.0083191443,0.0174510290
stock_daily,2026-08-21,00003.HK,,f,0.0744985673,0.1152192705,0.0682389980
stock_daily,2026-08-21,000030.SZ,801093.SI,t,0.0314769976,0.0153101905,-0.0639698375
stock_daily,2026-08-21,000031.SZ,801181.SI,t,0.0436893204,-0.0532110092,-0.1802497379
stock_daily,2026-08-21,000032.SZ,801724.SI,t,0.0459363958,-0.1714787548,-0.1825906421
stock_daily,2026-08-21,000034.SZ,801103.SI,t,-0.1109861267,-0.0769051080,-0.0951624332
stock_daily,2026-08-21,000035.SZ,801971.SI,t,0.0088070845,-0.0608276709,-0.2195175169
stock_daily,2026-08-21,000036.SZ,801181.SI,t,0.0253807107,-0.0926785447,-0.1644548619
stock_daily,2026-08-21,000037.SZ,801161.SI,t,0.0468227425,-0.0457589914,-0.0777992968
stock_daily,2026-08-21,000039.SZ,801072.SI,t,0.1778487261,0.0847352622,-0.0738451023
stock_daily,2026-08-21,00004.HK,,f,0.1108786611,0.0886329804,-0.0281353604
stock_daily,2026-08-21,000042.SZ,801181.SI,t,0.1317829457,0.0211575450,-0.0141796084
stock_daily,2026-08-21,000045.SZ,801084.SI,t,0.1864988558,0.0286250752,-0.0803402660
stock_daily,2026-08-21,000048.SZ,801017.SI,t,0.2378048780,0.1214155381,0.2178173274
stock_daily,2026-08-21,000049.SZ,801737.SI,t,0.0042319086,-0.0209992161,-0.0723694598
stock_daily,2026-08-21,00005.HK,,f,0.0142217233,0.0795395537,0.1429555254
stock_daily,2026-08-21,000050.SZ,801084.SI,t,0.0634146341,-0.1424637776,-0.1787444669
stock_daily,2026-08-21,000055.SZ,801713.SI,t,0.1059190031,0.0196754273,-0.0039281706
stock_daily,2026-08-21,000056.SZ,801183.SI,f,0.0691489362,0.0438847053,0.0728105680
stock_daily,2026-08-21,000058.SZ,801203.SI,t,0.1166666667,0.0231871516,-0.0846363868
stock_daily,2026-08-21,000059.SZ,801963.SI,t,0.0466666667,0.0715910815,-0.0376626030
stock_daily,2026-08-21,00006.HK,,f,0.0548986486,0.0902422033,0.0517761285
stock_daily,2026-08-21,000060.SZ,801055.SI,t,0.0932896890,-0.0398170823,-0.0354115184
stock_daily,2026-08-21,000061.SZ,801203.SI,t,0.0270758123,-0.0213294369,-0.1529278114
stock_daily,2026-08-21,000062.SZ,801082.SI,t,0.0360944007,-0.1810683784,-0.2158470056
stock_daily,2026-08-21,000063.SZ,801102.SI,t,-0.0230873269,-0.0629670402,-0.0547520217
stock_daily,2026-08-21,000065.SZ,801724.SI,t,0.0202474691,-0.0999840294,-0.2249317699
stock_daily,2026-08-21,000066.SZ,801101.SI,t,-0.0151828847,-0.1287890351,-0.1558377536
stock_daily,2026-08-21,000068.SZ,801971.SI,t,0.1717557252,0.0266986233,-0.0268128385
stock_daily,2026-08-21,000069.SZ,801181.SI,t,0.0792682927,0.0029275663,-0.1131153702
stock_daily,2026-08-21,000070.SZ,801102.SI,t,0.1584615385,-0.1079256012,-0.1483506126
stock_daily,2026-08-21,000078.SZ,801154.SI,f,0.0588235294,-0.0289710290,-0.3096100575
stock_daily,2026-08-21,00008.HK,,f,-0.0436391682,-0.0151432298,-0.0263164594
stock_daily,2026-08-21,000088.SZ,801992.SI,t,0.0254041570,0.0310266494,0.0142404171
stock_daily,2026-08-21,000089.SZ,801991.SI,t,-0.0229357798,-0.0051242536,-0.0290294649
stock_daily,2026-08-21,000090.SZ,801181.SI,t,0.0617283951,0.0321982698,-0.0046188003
stock_daily,2026-08-21,000096.SZ,801963.SI,t,0.0794787962,0.0479304151,-0.0912044330
stock_daily,2026-08-21,000099.SZ,801991.SI,t,0.0125368732,-0.0677620858,-0.1617595078
stock_daily,2026-08-21,00010.HK,,f,-0.0365119807,-0.0208168835,-0.0961041914
stock_daily,2026-08-21,000100.SZ,801084.SI,t,-0.0019841270,0.0076334814,0.0779610314
stock_daily,2026-08-21,00012.HK,,f,0.0973837209,0.1409087312,0.0375191215
stock_daily,2026-08-21,00013.HK,,f,0.1271379704,0.1035342494,-0.0030089596
stock_daily,2026-08-21,00014.HK,,f,-0.0426378624,-0.0305463681,-0.0808617447
stock_daily,2026-08-21,000151.SZ,801202.SI,t,0.1200000000,-0.0783157317,-0.1207577068
stock_daily,2026-08-21,000153.SZ,801151.SI,t,0.1673076923,0.0991069373,0.0262246366
stock_daily,2026-08-21,000155.SZ,801161.SI,t,0.0445969125,-0.0109220837,-0.1322107963
stock_daily,2026-08-21,000156.SZ,801995.SI,t,0.0262345679,-0.0052852014,-0.0659128419
stock_daily,2026-08-21,000157.SZ,801077.SI,t,-0.0581867388,-0.0297810451,-0.0919238881
stock_daily,2026-08-21,000158.SZ,801103.SI,t,0.0436573311,-0.0666130058,-0.1980288215
stock_daily,2026-08-21,000159.SZ,801735.SI,t,0.1530815109,0.0148172741,-0.0609466471
stock_daily,2026-08-21,00016.HK,,f,0.0621375311,0.0866961277,0.0065027828
stock_daily,2026-08-21,000166.SZ,801193.SI,t,-0.0345057994,-0.0139994857,-0.0329077958
stock_daily,2026-08-21,00017.HK,,f,0.0616541353,0.0100976452,-0.1113865216
